timestamp,Storage state of charge,Battery (charging),Battery (decharging),Power to Grid,Power from Grid,Solar Production,Household Load
2021-07-01 00:00,42,0,218,0,0,0,193
2021-07-01 00:15,40,0,176,1,0,0,151
2021-07-01 00:30,38,0,153,1,1,0,129
2021-07-01 00:45,37,0,151,0,0,0,127
2021-07-01 01:00,36,0,118,0,0,0,97
2021-07-01 01:15,34,0,136,0,1,0,112
2021-07-01 01:30,31,0,281,0,0,0,253
2021-07-01 01:45,28,0,295,0,1,0,267
2021-07-01 02:00,25,0,301,1,1,0,271
2021-07-01 02:15,22,0,280,0,0,0,253
2021-07-01 02:30,20,0,274,0,0,0,247
2021-07-01 02:45,17,0,289,1,1,0,261
2021-07-01 03:00,14,0,276,0,0,0,248
2021-07-01 03:15,11,0,270,0,0,0,242
2021-07-01 03:30,8,0,284,0,1,0,257
2021-07-01 03:45,5,0,274,0,0,0,245
2021-07-01 04:00,2,0,271,1,1,0,244
2021-07-01 04:15,1,0,163,2,6,0,142
2021-07-01 04:30,0,0,52,0,214,0,259
2021-07-01 04:45,0,0,0,0,229,0,229
2021-07-01 05:00,0,0,0,0,130,0,130
2021-07-01 05:15,0,0,0,0,249,0,249
2021-07-01 05:30,0,0,0,0,101,4,102
2021-07-01 05:45,0,0,0,0,104,7,106
2021-07-01 06:00,0,0,0,0,94,9,96
2021-07-01 06:15,0,0,0,0,114,5,117
2021-07-01 06:30,0,0,0,0,101,12,106
2021-07-01 06:45,0,0,0,0,89,16,98
2021-07-01 07:00,0,0,0,0,45,56,98
2021-07-01 07:15,0,0,0,0,52,81,131
2021-07-01 07:30,0,0,0,0,31,82,109
2021-07-01 07:45,0,0,0,0,42,66,105
2021-07-01 08:00,0,0,0,0,46,73,117
2021-07-01 08:15,0,1,0,4,5,101,98
2021-07-01 08:30,0,39,0,1,3,203,158
2021-07-01 08:45,0,22,0,0,13,194,178
2021-07-01 09:00,1,58,0,1,2,233,168
2021-07-01 09:15,1,29,0,0,6,208,179
2021-07-01 09:30,2,58,0,2,1,258,188
2021-07-01 09:45,2,53,0,2,16,254,209
2021-07-01 10:00,3,93,0,1,7,283,186
2021-07-01 10:15,6,238,0,0,0,435,184
2021-07-01 10:30,9,287,0,0,1,479,180
2021-07-01 10:45,9,71,0,1,1,269,186
2021-07-01 11:00,10,118,0,2,0,283,153
2021-07-01 11:15,15,403,0,1,0,519,100
2021-07-01 11:30,19,481,0,1,1,620,121
2021-07-01 11:45,25,575,0,2,3,800,200
2021-07-01 12:00,27,235,0,3,1,606,350
2021-07-01 12:15,34,704,0,4,3,993,255
2021-07-01 12:30,42,828,0,17,3,1050,169
2021-07-01 12:45,47,503,1,18,4,798,254
2021-07-01 13:00,52,553,0,39,4,848,232
2021-07-01 13:15,59,761,0,154,3,1204,251
2021-07-01 13:30,64,577,42,186,4,1141,382
2021-07-01 13:45,70,566,0,165,2,933,170
2021-07-01 14:00,75,527,0,2,2,869,317
2021-07-01 14:15,78,428,0,1,1,781,331
2021-07-01 14:30,79,171,58,2,2,524,394
2021-07-01 14:45,79,9,96,1,1,224,296
2021-07-01 15:00,78,0,90,1,1,214,290
2021-07-01 15:15,77,0,81,1,1,236,302
2021-07-01 15:30,77,14,46,2,1,280,299
2021-07-01 15:45,82,622,0,25,1,971,295
2021-07-01 16:00,87,507,0,6,4,843,308
2021-07-01 16:15,94,814,0,7,3,1156,300
2021-07-01 16:30,97,306,0,17,4,632,293
2021-07-01 16:45,98,89,0,3,2,427,324
2021-07-01 17:00,99,136,0,525,0,927,241
2021-07-01 17:15,99,34,17,79,3,350,244
2021-07-01 17:30,99,42,4,2,1,372,320
2021-07-01 17:45,100,126,1,21,1,387,231
2021-07-01 18:00,100,0,63,57,1,227,225
2021-07-01 18:15,100,0,150,1,1,130,267
2021-07-01 18:30,100,0,9,18,0,115,104
2021-07-01 18:45,100,0,94,10,1,160,235
2021-07-01 19:00,100,0,15,35,1,254,230
2021-07-01 19:15,100,0,36,53,1,150,130
2021-07-01 19:30,100,0,86,1,1,63,141
2021-07-01 19:45,100,0,102,0,0,34,127
2021-07-01 20:00,100,0,119,0,0,11,115
2021-07-01 20:15,100,0,132,1,1,2,119
2021-07-01 20:30,92,0,146,0,0,0,129
2021-07-01 20:45,91,0,139,0,0,0,119
2021-07-01 21:00,89,0,138,1,1,0,119
2021-07-01 21:15,88,0,149,0,0,0,128
2021-07-01 21:30,87,0,163,1,1,0,142
2021-07-01 21:45,85,0,139,1,1,0,118
2021-07-01 22:00,84,0,146,0,0,0,125
2021-07-01 22:15,83,0,136,0,0,0,115
2021-07-01 22:30,82,0,147,0,0,0,124
2021-07-01 22:45,80,0,153,0,0,0,129
2021-07-01 23:00,79,0,138,0,0,0,115
2021-07-01 23:15,78,0,141,0,1,0,118
2021-07-01 23:30,76,0,179,0,0,0,155
2021-07-01 23:45,74,0,154,0,0,0,131
2021-07-02 00:00,73,0,185,0,0,0,161
2021-07-02 00:15,71,0,186,0,0,0,161
2021-07-02 00:30,69,0,171,0,0,0,147
2021-07-02 00:45,68,0,193,1,1,0,168
