timestamp,Everything,No DishWasher,No WashingMach,Everything1,Everything2,No DishWasher1,No DishWasher2,No WashingMach1,No WashingMach2,Solar Production,Prosumer 1 (Everything1-PV),Consumer 1 (Everything),EV,Prosumer for EV (No DishWasher2-PV)
01/07/2021 00:00,257.1570757,40,207.6666667,232.0426064,223.2521974,284,265.9923273,509.7,42,0,232.0426064,257.1570757,7000,265.9923273
01/07/2021 00:15,273.4904091,40,144.3333333,335.620879,223.2521974,130.7333333,254.8237424,376.3666667,42,0,335.620879,273.4904091,7000,254.8237424
01/07/2021 00:30,349.4904091,40,43,178.3333333,304.8840658,54.66666667,254.8237424,277.4333333,42,0,178.3333333,349.4904091,7000,254.8237424
01/07/2021 00:45,138.9726626,40,43,320,243.0333333,282,352.4237424,196.0333333,42,0,320,138.9726626,7000,352.4237424
01/07/2021 01:00,52,142.6666667,43,267.6,191.7,93.33333333,322.0354929,298.7,143.3333333,0,267.6,52,7000,322.0354929
01/07/2021 01:15,103.6666667,84,81,66.66666667,191.7,42,355,196.0333333,206.6666667,0,66.66666667,103.6666667,7000,355
01/07/2021 01:30,234.6666667,40,233,201,191.7,42,279,188.7,42,0,201,234.6666667,7000,279
01/07/2021 01:45,242,40,81,56.33333333,191.7,42,165,188.7,42,0,56.33333333,242,7000,165
01/07/2021 02:00,77.33333333,40,43,46,272.3666667,109.3333333,140.6,188.7,42,0,46,77.33333333,7000,140.6
01/07/2021 02:15,52,40,43,236,265.0333333,278.6666667,43,188.7,42,0,236,52,7000,43
01/07/2021 02:30,52,54.66666667,43,193.3333333,191.7,42,43,291.3666667,105.3333333,0,193.3333333,52,7000,43
01/07/2021 02:45,52,150,144.3333333,201,191.7,42,144.3333333,210.7,232,0,201,52,7000,144.3333333
01/07/2021 03:00,363.6666667,62,207.6666667,56.33333333,191.7,42,233,188.7,54.66666667,0,56.33333333,363.6666667,7000,233
01/07/2021 03:15,190,40,43,46,191.7,42,68.33333333,188.7,42,0,46,190,7000,68.33333333
01/07/2021 03:30,52,40,43,84,114.6666667,186,43,188.7,42,0,84,52,7000,43
01/07/2021 03:45,52,40,43,256.6666667,151.3333333,202,43,188.7,42,0,256.6666667,52,7000,43
01/07/2021 04:00,52,40,43,289.6666667,56,42,43,276.7,67.33333333,0,289.6666667,52,7000,43
01/07/2021 04:15,178.6666667,76.66666667,207.6666667,56.33333333,56,42,43,225.3666667,232,0,56.33333333,178.6666667,0,43
01/07/2021 04:30,240.6666667,150,144.3333333,46,56,42,233,188.7,92.66666667,0,46,240.6666667,0,233
01/07/2021 04:45,186.3333333,40,43,46,56,64,169.6666667,188.7,42,0,46,186.3333333,0,169.6666667
01/07/2021 05:00,52,40,43,142.6666667,92.66666667,240.6666667,43,188.7,42,0,142.6666667,52,0,43
01/07/2021 05:15,52,40,43,391,166,125.3333333,43,161.56,42,0,391,52,0,43
01/07/2021 05:30,128,40,81,107,63.33333333,42,43,126.3333333,42,4,103,128,0,39
01/07/2021 05:45,229.3333333,79.66666667,233,46,56,42,43,104.3333333,219.3333333,7,39,229.3333333,0,36
01/07/2021 06:00,52,194.3333333,81,46,56,42,131.6666667,53,130.6666667,9,37,52,0,122.6666667
01/07/2021 06:15,196.6666667,282.3333333,43,66.66666667,56,115.3333333,233,53,42,5,61.66666667,196.6666667,0,228
01/07/2021 06:30,157,46.93333333,982.2,328.3333333,70.66666667,222,81,53,47.33333333,12,316.3333333,157,0,69
01/07/2021 06:45,213.3333333,40,1333.666667,299.6666667,166,92.66666667,43,490.1333333,87.33333333,16,283.6666667,213.3333333,0,27
01/07/2021 07:00,402,40,833.4,173.3333333,85.33333333,42,43,197,122,56,117.3333333,402,0,-13
01/07/2021 07:15,279.3333333,40,386.3333333,587.1333333,63.8,42,43,510.7333333,317.3333333,81,506.1333333,279.3333333,0,-38
01/07/2021 07:30,252,40,243,299.5333333,85,59.33333333,43,484.5333333,368.6666667,82,217.5333333,252,0,-39
01/07/2021 07:45,857.4,120.6666667,243,535,127.6666667,194.6666667,220.3333333,266,242,66,469,857.4,0,154.3333333
01/07/2021 08:00,376,106,243,475.6666667,189,332,182.3333333,266,42,73,402.6666667,376,0,109.3333333
01/07/2021 08:15,416.6666667,40,243,344.6666667,323,254,43,266,42,101,243.6666667,416.6666667,0,-58
01/07/2021 08:30,340.6666667,40,407.6666667,180,267.3333333,242,43,301.3333333,42,203,-23,340.6666667,0,-160
01/07/2021 08:45,252,40,344.3333333,203.0666667,655.8,242,43,340.6,158.4,194,9.066666667,252,0,-151
01/07/2021 09:00,255.4666667,53.33333333,243,272.6666667,390.8478261,797.3753623,67,266,321,233,39.66666667,255.4666667,0,-166
01/07/2021 09:15,265,120,109.6666667,182.2666667,527.210145,732.8768116,271,132.6666667,215,208,-25.73333333,265,0,63
01/07/2021 09:30,534,268,43,388,460.5434783,816.210145,433,63.4,245.6855307,258,130,534,0,175
01/07/2021 09:45,445.6666667,137.3333333,81,332.6666667,541.210145,619.5434783,291,61,233.5521974,254,78.66666667,445.6666667,0,37
01/07/2021 10:00,241,40,233,226.6666667,533.8768116,774.6768116,149.6666667,159.6666667,73.55219735,283,-56.33333333,241,0,-133.3333333
01/07/2021 10:15,225,40,81,361,460.5434783,3461.876811,43,228.3333333,136.8855307,435,-74,225,0,-392
01/07/2021 10:30,281.4666667,40,43,216.3333333,460.5434783,3081.343478,43,53,261.4487176,479,-262.6666667,281.4666667,0,-436
01/07/2021 10:45,408.4666667,40,43,244,460.5434783,612.5434783,43,79.66666667,54.66666667,269,-25,408.4666667,0,-226
01/07/2021 11:00,589.3333333,54.66666667,43,380,460.5434783,691.210145,223.6666667,151.6666667,42,283,97,589.3333333,0,-59.3333333
01/07/2021 11:15,435.6666667,150,144.3333333,337.9084246,519.210145,446.5434783,283,218.5333333,42,519,-181.0915754,435.6666667,0,-236
01/07/2021 11:30,531.3202899,62,207.6666667,371.2188641,555.8768116,446.5434783,192.3333333,348.6666667,42,620,-248.7811359,531.3202899,0,-427.6666667
01/07/2021 11:45,1134.676812,40,43,207.8855307,109.9391304,343.3927536,179,444,67.33333333,800,-592.1144693,1134.676812,0,-621
01/07/2021 12:00,698.2837713,40,43,197.5521974,56,122.6666667,163,323.3333333,232,606,-408.4478026,698.2837713,0,-443
