Iteration 1,Iteration 2,H1 Total Purchased Energy from Peers [Wh],H2 Total Purchased Energy from Peers [Wh],H3 Total Purchased Energy from Peers [Wh],H3 Total Sold Energy from Peers [Wh],H4 Total Purchased Energy from Peers [Wh],H4 Total Sold Energy from Peers [Wh],H5 Total Purchased Energy from Peers [Wh],H6 Total Purchased Energy from Peers [Wh],H6 Total Sold Energy to Peers [Wh],H7 Total Purchased Energy from Peers [Wh],H8 Total Purchased Energy from Peers [Wh],H8 Total Sold Energy to Peers [Wh],H9 Total Purchased Energy from Peers [Wh],H10 Total Purchased Energy from Peers [Wh],H10 Total Sold Energy to Peers [Wh]
0,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
1,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
2,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
3,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
4,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
5,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
6,72,26963,25296,160,35822,14145,4232,27187,0,37218,26370,30,34529,27030,30,35410
7,72,26963,25296,160,35822,14145,4232,27187,0,37218,26370,30,34529,27030,30,35410
8,72,28008,26986,30,35809,13935,4253,25682,0,37637,26252,160,36001,27360,30,34743
9,72,27998,28306,30,35136,13898,4232,25672,0,37853,26242,160,36450,27350,30,36015
10,72,27988,29460,30,35341,13847,4661,25662,0,36351,27340,246,38114,26232,160,36498
11,72,27144,30874,30,36584,13859,4424,26294,0,38431,25889,160,36991,27659,30,35509
12,72,26457,32554,30,35890,13904,4424,26825,0,38746,25829,160,37305,27589,30,37013
13,72,26787,34348,246,39059,13816,4672,27120,0,37653,26280,30,36216,26269,30,37326
14,72,26610,35758,30,36652,13924,4920,26070,0,38092,26179,30,37686,27829,246,39326
15,72,27056,37771,30,38015,13792,5037,26833,0,39843,26269,160,38318,26321,30,37049
16,72,26824,39298,246,40349,13878,5287,26639,0,38322,27104,30,37413,26035,160,38843
17,72,26857,40994,246,40680,13822,5485,26112,0,38734,27593,160,39195,26122,30,37842
18,72,26298,42726,246,40959,13819,5769,26812,0,39452,26981,30,39063,26321,30,38020
19,72,26782,44242,246,41224,13784,6060,27109,0,38457,25498,30,39502,27209,160,39817
20,72,26674,45900,30,38749,13792,6372,27122,0,39698,26124,160,40151,26562,246,41640
21,72,26945,47087,246,41873,13709,6623,26110,0,40286,27610,30,39039,26106,30,40052
22,72,27226,48147,30,39094,13676,6853,27482,0,40615,26074,30,40195,25889,246,42043
23,72,26102,48526,160,40588,13750,7011,26678,0,42122,26983,30,40232,27021,30,39327
24,72,27180,49454,30,40448,13744,7166,26694,0,42169,26075,160,40745,26577,30,39416
25,72,26327,47338,30,39180,13969,7044,26970,0,42005,27101,30,40194,27044,160,40546
26,72,26223,47945,30,39977,14032,7419,26248,0,39021,26754,160,40323,26933,246,41831
27,72,25903,48015,160,40241,13979,7383,26856,0,41780,27028,30,39957,26249,30,38889
28,72,26806,47402,30,38566,13991,7599,27245,0,39627,25385,160,39988,26011,246,41496
