Iteration,H1 Total Purchased Energy from Peers [Wh],H2 Total Purchased Energy from Peers [Wh],H3 Total Purchased Energy from Peers [Wh],H4 Total Purchased Energy from Peers [Wh],H3 Total Sold Energy from Peers [Wh],H4 Total Sold Energy from Peers [Wh]
40,23446,32894,383,1501,27790,30434
41,23446,32795,383,1487,27790,30321
42,23447,32831,383,1469,27790,30340
43,23507,32901,383,1403,27790,30404
44,23507,32920,383,1397,27790,30417
45,23522,32872,383,1397,27790,30384
46,23522,32857,383,1412,27790,30384
47,23298,32935,383,1643,27810,30449
48,23283,32754,383,1842,27810,30452
49,23207,32587,383,2114,27987,30304
