summer_pro1_no_EV,summer_pro2_no_EV,summer_pro3_no_EV,summer_pro4_no_EV,summer_pro5_no_EV
-414.3759397,-898.023742293333,-1242.52520736667,-628.605793213333,-911.909273073334
-450.191526626667,-318.69389812,-555.674474833333,-425.260555553333,-822.9341819
-516.218864066667,-926.266107453333,-645.101358933334,-527.042606366667,-1036.97099490667
-327.191025453333,-414.3759397,-523.5521974,-332.709273033333,-324.642606366667
-367.066666666667,-495.042606366667,-560.218864066667,-300.442606366667,-292.3759397
-917.733333333333,-473.042606366667,-626.218864066667,-516.042606366667,-351.042606366667
-428.235492906667,-251.14836097,-908.938278066667,-368.65158096,-306.375939708
-345.157075733333,-121.885530696667,-131,-211.333333333333,-102.157075711333
-417.490409066667,-183.701464933333,-162.666666666667,-283.666666666667,-174.490409058667
-369.090409066667,-78.3333333333333,-49,-113.533333333333,-60.82374237
-151.223742388,-159,-144.333333333333,-100.333333333333,-63.4275787553333
-56.094245422,-49,-93,-137,-159
31.7,31.7,31.7,31.7,9.7
-9.6333333333333,-9.6333333333333,-9.6333333333333,-9.6333333333333,-9.6333333333333
-103.966666666667,-81.966666666667,-81.966666666667,-81.966666666667,-81.966666666667
-78.3,-56.3,-12.3,31.7,31.7
-30.8333333333333,-74.833333333333,-118.833333333333,-133.5,-89.5
-23.5,-23.5,-23.5,-52.8333333333333,-96.833333333333
-23.5,-23.5,-23.5,-23.5,-23.5
-64.8333333333333,-64.8333333333333,-64.8333333333333,-64.8333333333333,-64.8333333333333
-139.383333333333,-95.383333333333,-58.716666666667,-58.716666666667,-58.716666666667
-3.716666666667,-47.716666666667,-47.716666666667,-3.716666666667,40.2833333333333
54.95,54.95,18.2833333333333,-25.716666666667,-55.05
52.2833333333333,54.95,-1.05,44.2833333333333,40.2833333333333
1431.41666666667,1487.41666666667,1348.75,898.35,1068.95
1331.41666666667,1387.41666666667,907.616666666667,1320.75,1408.75
1165.08333333333,1219.75,1183.75,867.95,1181.81666666667
1367.41666666667,1384.75,1260.75,1281.41666666667,923.616666666667
1799.18333333333,1847.98333333333,1741.31666666667,1833.98333333333,1765.98333333333
1810.98333333333,1875.71666666667,1722.65,1912.25,1871.98333333333
1874.98333333333,1906.98333333333,1722.65,1909.65,1917.31666666667
1780.31666666667,1824.31666666667,1681.31666666667,1819.51666666667,1881.31666666667
1580.11666666667,1141.65,1339.78333333333,1452.25,1627.78333333333
1733.66175050667,1750.45,1574.11666666667,1568.11666666667,1253.65
1658.6262576,1762.58333333333,1643.45,1641.45,1753.51666666667
1685.29292427067,1714.65,1606.11666666667,1641.45,1750.45
1207.80959095333,599.5,1061.56666666667,1177.56666666667,1245.9
1097.74292426667,979.9,1047.83333333333,1202.9,1204.56666666667
1128.076257608,973.566666666667,982.233333333333,1032.63333333333,1058.5
720.315586968,1123.9,-794.1,1158.02925557933,1200.23333333333
1279.15,1219.08333333333,428.816666666667,973.392924293333,1279.15
1279.15,1274.81666666667,1266.15,-2412.473742,1279.15
1183.81666666667,1187.84710144667,737.016666666667,69.2595911466701,1279.15
1191.21666666667,732.273188366667,1127.81666666667,1031.65959093333,1208.48333333333
997.133333333333,592.589855033333,-131.4,411.509591013333,894.933333333333
1110.8,711.4565217,-1355.13333333333,1024.75683434667,1110.8
-648.46666666667,719.2565217,707.866666666667,1001.8,977.533333333333
-535.9256604,719.2565217,866.933333333333,994,711
1436.90959093733,871.323188386667,1013.02666666667,1388.8,1535.4
1479.64292428867,-1328.41014466667,1141.78666666667,1259.46666666667,1298.69794909667
1407.30959094133,130.25652182,1306.2,1363,1349.24780261333
1520.97625763,-1053.66447846667,1532.8,1516.46868159,383.44780281333
-428.098081807333,-1245.75707552,-1085.73333333333,84.44780265,-1208.01886383
13.333333333333,-253.090409066667,-967.93333333333,84.44780265,100.896520176667
79.3333333333333,-293.157075733333,-30.138278093333,-80.454356882667,19.666666666667
71.5136686933333,-186.062830293333,-33.352197376667,-147.27245988,-259.4
974.076257733333,1277.89592224,1267.68113593333,1300.40959093333,1313.23333333333
22.9962580000001,1415.0762576,1379.84972080667,1414.0762576,1216.58
254.75625786667,1447.74292427667,1388.83449976,1018.21750514667,1304.9
1197.0762576,1304.0762576,587.00142786667,1421.16666666667,1312.96666666667
-7.72074442666701,88.1262576,-1013.285987,12.95,-94.383333333333
22.23608992,68.792924266667,-939.81932033333,81.616666666667,-69.442327253333
69.659590933333,8.28333333333296,-1010.17999126667,9.28333333333296,-124.540409066667
110.1262576,121.95,-70.546598666667,-365.17,5.25959093333302
-190.340409066667,43.95,74.95,-19.720744426667,-15.740409064667
-573.21882616,16.83608993,-13.05,-110.8737424,54.126257618
-146.116666666667,-314.673742296,24.55,-74.207075733333,3.58117376199999
-60.383333333333,-489.273742279333,-587.316666666667,-558.637515113333,68.6166666666667
-63.375660586667,42.259590941333,-54.916666666667,-97.292606366667,-53.916666666667
-71.407075704667,-811.80707557133,-490.45,25.83305414,59.75
-178.273742338667,-2174.6147484,-161.847985106667,-12.535530733333,-473.316666666667
168.92625763,-1231.26966464,-666.46886396,33.531135936667,-1482.31666666667
-1186.773742148,-34.5737424,-637.435530653334,13.3644693,-1355.15
-3509.81666666667,-75.907075733333,-284.3021974,-82.601079786667,-663.616666666667
-1559.88333333333,-148.240409066667,-265.435530733333,-148.240409066667,-1460.12014646667
-245.68131844,-181.107075733333,-189.904212293333,-122.8937424,-600.184692133333
-263.168864066667,-332.04424544,-325.016666666667,-620.977823933333,-353.659273033333
-334.8221974,-348.907075733333,-149.95,-1326.85265366667,-349.1259397
