Winter1jan;Winter2jan;Winter3Jan;Winter4Jan;Winter5Dec;Winter6jan;Winter7jan;Winter8Dec;Winter9Dec;Winter10Dec;Summer1Jul;Summer2Jul;Summer3Jul;Summer4Jul;Summer5Ag;Summer6Jul;Summer7Jul;Summer8Jul;Summer9Jul;Summer10Ag
-214,057692113333;-228;-175,333333333333;-186;-51,3333333333333;-91,909832316;-90,3333333333333;-712,8237424;-567,87857108;-528,069943806667;-414,3759397;-898,023742293333;-1242,52520736667;-628,605793213333;-911,909273073334;-275,666666666667;-136,666666666667;-282,666666666667;-244,666666666667;-155,218864043333
-72,55219735;-231;-41;-129,666666666667;-41;-228,666666666667;-184,666666666667;-540,72949696;-368,5521974;-495,418864066667;-450,191526626667;-318,69389812;-555,674474833333;-425,260555553333;-822,9341819;-322,666666666667;-199,466666666667;-507;-236,333333333333;-341,5521974
-72,55219735;-117;-41;-231;-53,6666666666667;-122,333333333333;-159;-503,8237424;-280,5521974;-302,5521974;-516,218864066667;-926,266107453333;-645,101358933334;-527,042606366667;-1036,97099490667;-51,3333333333333;-51,3333333333333;-223;-51,3333333333333;-224,413919306667
-186,55219738;-41;-41;-41;-231;-49;-56,3333333333333;-374,357075733333;-280,5521974;-754,200585973333;-327,191025453333;-414,3759397;-523,5521974;-332,709273033333;-324,642606366667;-41;-180,333333333333;-145,866666666667;-66,3333333333333;-41
-257,885530733333;-61,6666666666667;-251,666666666667;-61,6666666666667;-261,666666666667;-49;-49;-194,157075723333;-613,685530636667;-298,08;-367,066666666667;-495,042606366667;-560,218864066667;-300,442606366667;-292,3759397;-41;-180,333333333333;-41;-231;-41
-227,5521974;-196;-284,666666666667;-196;-144,333333333333;-49;-49;-146,157075715333;-107,16117192;-224,333333333333;-917,733333333333;-473,042606366667;-626,218864066667;-516,042606366667;-351,042606366667;-91,6666666666667;-41;-41;-104,333333333333;-41
-128,05769212;-214,666666666667;-113,333333333333;-113,333333333333;-41;-105;-90,3333333333333;-269,035492904667;-272,666666666667;-362,666666666667;-428,235492906667;-251,14836097;-908,938278066667;-368,65158096;-306,375939708;-375,666666666667;-185,666666666667;-312,333333333333;-185,666666666667;-198,333333333333
-41;-218,333333333333;-41;-218,333333333333;-41;-272,666666666667;-243,333333333333;-49;-78,3333333333333;-248,533333333333;-345,157075733333;-121,885530696667;-131;-211,333333333333;-102,157075711333;-182,333333333333;-144,333333333333;-296,333333333333;-144,333333333333;-334,333333333333
-53,6666666666667;-41;-41;-142,333333333333;-142,333333333333;-63,6666666666667;-107,666666666667;-49;-49;-170;-417,490409066667;-183,701464933333;-162,666666666667;-283,666666666667;-174,490409058667;-41;-79;-41;-41;-117
-231;-41;-129,666666666667;-41;-270;-49;-49;-49;-49;-97,4;-369,090409066667;-78,3333333333333;-49;-113,533333333333;-60,82374237;-41;-231;-41;-155;-41
