Winter1jan,Winter2jan,Winter3Jan,Winter4Jan,Winter5Dec,Winter6jan,Winter7jan,Winter8Dec,Winter9Dec,Winter10Dec,Summer1Jul,Summer2Jul,Summer3Jul,Summer4Jul,Summer5Ag,Summer6Jul,Summer7Jul,Summer8Jul,Summer9Jul,Summer10Ag
-214.0576921,-228,-175.3333333,-186,-51.33333333,-91.90983232,-90.33333333,-712.8237424,-567.8785711,-528.0699438,-414.3759397,-898.0237423,-1242.525207,-628.6057932,-911.9092731,-275.6666667,-136.6666667,-282.6666667,-244.6666667,-155.218864
-72.55219735,-231,-41,-129.6666667,-41,-228.6666667,-184.6666667,-540.729497,-368.5521974,-495.4188641,-450.1915266,-318.6938981,-555.6744748,-425.2605556,-822.9341819,-322.6666667,-199.4666667,-507,-236.3333333,-341.5521974
-72.55219735,-117,-41,-231,-53.66666667,-122.3333333,-159,-503.8237424,-280.5521974,-302.5521974,-516.2188641,-926.2661075,-645.1013589,-527.0426064,-1036.970995,-51.33333333,-51.33333333,-223,-51.33333333,-224.4139193
-186.5521974,-41,-41,-41,-231,-49,-56.33333333,-374.3570757,-280.5521974,-754.200586,-327.1910255,-414.3759397,-523.5521974,-332.709273,-324.6426064,-41,-180.3333333,-145.8666667,-66.33333333,-41
-257.8855307,-61.66666667,-251.6666667,-61.66666667,-261.6666667,-49,-49,-194.1570757,-613.6855306,-298.08,-367.0666667,-495.0426064,-560.2188641,-300.4426064,-292.3759397,-41,-180.3333333,-41,-231,-41
-227.5521974,-196,-284.6666667,-196,-144.3333333,-49,-49,-146.1570757,-107.1611719,-224.3333333,-917.7333333,-473.0426064,-626.2188641,-516.0426064,-351.0426064,-91.66666667,-41,-41,-104.3333333,-41
-128.0576921,-214.6666667,-113.3333333,-113.3333333,-41,-105,-90.33333333,-269.0354929,-272.6666667,-362.6666667,-428.2354929,-251.148361,-908.9382781,-368.651581,-306.3759397,-375.6666667,-185.6666667,-312.3333333,-185.6666667,-198.3333333
-41,-218.3333333,-41,-218.3333333,-41,-272.6666667,-243.3333333,-49,-78.33333333,-248.5333333,-345.1570757,-121.8855307,-131,-211.3333333,-102.1570757,-182.3333333,-144.3333333,-296.3333333,-144.3333333,-334.3333333
-53.66666667,-41,-41,-142.3333333,-142.3333333,-63.66666667,-107.6666667,-49,-49,-170,-417.4904091,-183.7014649,-162.6666667,-283.6666667,-174.4904091,-41,-79,-41,-41,-117
-231,-41,-129.6666667,-41,-270,-49,-49,-49,-49,-97.4,-369.0904091,-78.33333333,-49,-113.5333333,-60.82374237,-41,-231,-41,-155,-41
-199.6666667,-123.6666667,-313.6666667,-123.6666667,-196,-49,-49,-49,-49,-49,-151.2237424,-159,-144.3333333,-100.3333333,-63.42757876,-41,-91.66666667,-41,-205.6666667,-41
-196,-196,-196,-196,-82.33333333,-49,-49,-193,-149,-105,-56.09424542,-49,-93,-137,-159,-232,-92.66666667,-118,-92.66666667,-92.66666667
-51.33333333,-241.3333333,-51.33333333,-127.3333333,-41,-163.6666667,-119.6666667,-199.3333333,-243.3333333,-272.6666667,-49,-49,-49,-49,-71,-335.3333333,-196,-386,-196,-297.3333333
-41,-129.6666667,-41,-231,-41,-228.6666667,-272.6666667,-49,-49,-63.66666667,-90.33333333,-90.33333333,-90.33333333,-90.33333333,-90.33333333,-82.33333333,-82.33333333,-145.6666667,-82.33333333,-259.6666667
-142.3333333,-41,-41,-53.66666667,-231,-49,-49,-49,-49,-49,-184.6666667,-162.6666667,-162.6666667,-162.6666667,-162.6666667,-41,-167.6666667,-41,-53.66666667,-41
-218.3333333,-41,-218.3333333,-41,-243.3333333,-49,-49,-49,-49,-49,-159,-137,-93,-49,-49,-41,-193,-41,-231,-41
-185.6666667,-185.6666667,-287,-185.6666667,-175.3333333,-49,-49,-100.3333333,-56.33333333,-49,-56.33333333,-100.3333333,-144.3333333,-159,-115,-79,-41,-41,-117,-41
-144.3333333,-233,-144.3333333,-144.3333333,-41,-71,-49,-178.3333333,-200.3333333,-163.6666667,-49,-49,-49,-78.33333333,-122.3333333,-344.6666667,-154.6666667,-268.6666667,-154.6666667,-154.6666667
-41,-231,-41,-205.6666667,-41,-200.3333333,-178.3333333,-162.6666667,-184.6666667,-228.6666667,-49,-49,-49,-49,-49,-226,-175.3333333,-340,-175.3333333,-365.3333333
-41,-41,-41,-155,-129.6666667,-170,-214,-49,-49,-49,-90.33333333,-90.33333333,-90.33333333,-90.33333333,-90.33333333,-41,-66.33333333,-41,-41,-129.6666667
-231,-41,-117,-41,-251.6666667,-49,-49,-49,-49,-49,-243.3333333,-199.3333333,-162.6666667,-162.6666667,-162.6666667,-41,-231,-41,-142.3333333,-41
-181.3333333,-92.66666667,-282.6666667,-92.66666667,-196,-49,-49,-83.66666667,-65,-59.66666667,-107.6666667,-151.6666667,-151.6666667,-107.6666667,-63.66666667,-41,-104.3333333,-41,-218.3333333,-41
-196,-196,-208.6666667,-196,-113.3333333,-49,-49,-244.3333333,-163,-111,-49,-49,-85.66666667,-129.6666667,-159,-188.3333333,-61.66666667,-74.33333333,-61.66666667,-61.66666667
-82.33333333,-259.6666667,-82.33333333,-145.6666667,-41,-129.6666667,-85.66666667,-239.6666667,-294.3333333,-261.6666667,-51.66666667,-49,-105,-59.66666667,-63.66666667,-348,-196,-386,-196,-284.6666667
-41,-142.3333333,-41,-231,-41,-149,-193,-312,-362.6666667,-327.3333333,-126.3333333,-70.33333333,-209,-659.4,-488.8,-113.3333333,-113.3333333,-189.3333333,-113.3333333,-303.3333333
-129.6666667,-41,-41,-66.33333333,-218.3333333,-162.6666667,-162.6666667,-217,-249,-238.3333333,-226.3333333,-170.3333333,-650.1333333,-237,-149,-41,-155,-41,-41,-41
-231,-41,-205.6666667,-41,-225,-49,-49,-256.8,-249,-249,-392.6666667,-338,-374,-689.8,-375.9333333,-41,-205.6666667,-41,-231,-41
-154.6666667,-154.6666667,-268.6666667,-154.6666667,-196,-49,-49,-320.6666667,-263.6666667,-249,-190.3333333,-173,-297,-276.3333333,-634.1333333,-66.33333333,-41,-41,-129.6666667,-41
-175.3333333,-251.3333333,-175.3333333,-175.3333333,-51.33333333,-78.33333333,-49,-464.6666667,-359,-329.6666667,-172.4666667,-123.6666667,-230.3333333,-137.6666667,-205.6666667,-313.6666667,-123.6666667,-225,-123.6666667,-123.6666667
-41,-231,-41,-193,-41,-159,-144.3333333,-425.3333333,-305,-349,-160.6666667,-95.93333333,-249,-59.4,-99.66666667,-259.3333333,-196,-373.3333333,-196,-373.3333333
-44.46666667,-53.66666667,-41,-175.6666667,-117,-90.33333333,-134.3333333,-1765.866667,-362.6666667,-827.044898,-96.66666667,-64.66666667,-249,-62,-54.33333333,-51.33333333,-64,-51.33333333,-51.33333333,-152.6666667
-231.3333333,-41,-109.6666667,-81,-231,-208,-658.4666667,-1810.4,-257.6666667,-1392.612245,-191.3333333,-147.3333333,-290.3333333,-152.1333333,-90.33333333,-41,-231,-41,-129.6666667,-41
-208,-61.66666667,-313,-501.4666667,-198.3333333,-94.33333333,-102.3333333,-353.9333333,-262,-1392.612245,-232.3333333,-670.8,-472.6666667,-360.2,-184.6666667,-41,-117,-41,-231,-41
-331.2188641,-217.3333333,-301.3333333,-277.7333333,-144.3333333,-49,-62.33333333,-359,-335.3333333,-1421.945578,-78.78824949,-62,-238.3333333,-244.3333333,-558.8,-155,-41,-41,-41,-41
-816.4855306,-318,-193.3333333,-302.3333333,-448.8,-137,-167.6666667,-272.7333333,-489.2656984,-1495.678912,-153.8237424,-49.86666667,-169,-171,-58.93333333,-350.3333333,-185.6666667,-375.6666667,-185.6666667,-261.6666667
-240.5521974,-199.3333333,-547.1333333,-409.3333333,-225.5333333,-111,-277.6666667,-303.3333333,-1458.564442,-529.4557823,-127.1570757,-97.8,-206.3333333,-171,-62,-144.3333333,-144.3333333,-233,-144.3333333,-334.3333333
-348.5521974,-94,-208.6666667,-298.0666667,-352,-226.8666667,-285,-430.2666667,-1524.831109,-775.4666667,-100.090409,-708.4,-246.3333333,-130.3333333,-62,-41,-174.6,-102.3333333,-44.15299797,-63.2
-462.5521974,-99.33333333,-379.3333333,-345,-419.6666667,-963.4,-368.7333333,-353,-1414.631109,-661.8,-210.1570757,-328,-260.0666667,-105,-103.3333333,-41,-340.2,-142.1333333,-230.1570757,-54
